,method_model,spurious_score,num_concepts
0,med-mean_bugged,0.13601972,4
1,med-mean_normal,0.6814861,4
2,mean_bugged,0.92313564,4
3,mean_normal,0.681486,4
4,median_bugged,1.0,4
5,median_normal,0.0,4
6,med-mean_bugged,0.41798595,7
7,med-mean_normal,0.6822193,7
8,mean_bugged,0.36796567,7
9,mean_normal,0.68229115,7
10,median_bugged,0.45591345,7
11,median_normal,0.31108633,7
12,med-mean_bugged,0.578731,10
13,med-mean_normal,0.5377078,10
14,mean_bugged,0.55157983,10
15,mean_normal,0.53751016,10
16,median_bugged,0.55157876,10
17,median_normal,0.77828884,10
