,concept,class_activation,background_activation,ratio,background
0,0,0.014818751,0.0076354705,1.9407778,False
1,1,0.013129199,0.009616698,1.3652502,False
2,2,0.005264926,0.00038889717,13.538093,False
3,3,0.021579461,0.030465499,0.70832455,True
4,4,0.03386592,0.057304874,0.590978,True
5,5,0.067446336,0.016736994,4.029776,False
6,6,-0.00093712704,-0.0015074116,0.6216796,True
7,7,0.11771965,0.09931442,1.1853229,False
8,8,0.026048511,0.03468854,0.75092554,True
9,9,0.16205537,0.18825349,0.86083597,True
