,concept,class_activation,background_activation,ratio,background
0,0,6.263959e-05,2.6286303e-05,2.3829746,False
1,1,0.00028308725,0.00015802658,1.7913901,False
2,2,7.988827e-06,3.1093525e-05,0.25692895,True
3,3,0.0027094735,0.0004450531,6.087978,False
4,4,0.0013262812,-1.0270229e-05,-129.13843,True
5,5,-0.0014250346,-0.0005699681,2.5002007,False
6,6,0.0020008583,0.003923038,0.51002777,True
7,7,0.0013536135,-0.0001004215,-13.479319,True
8,8,0.001993885,-0.0002013819,-9.901014,True
9,9,-0.00052387256,-2.6046904e-05,20.112661,False
