,method_model,spurious_score,num_concepts
0,med-mean_bugged,0.20148228,4
1,med-mean_normal,0.10121066,4
2,mean_bugged,0.20148231,4
3,mean_normal,0.0,4
4,median_bugged,0.20148227,4
5,median_normal,0.2905974,4
6,med-mean_bugged,0.14965856,7
7,med-mean_normal,0.2404486,7
8,mean_bugged,0.71574676,7
9,mean_normal,0.19031245,7
10,median_bugged,0.11341336,7
11,median_normal,0.17963126,7
12,med-mean_bugged,0.14235999,10
13,med-mean_normal,0.38076323,10
14,mean_bugged,0.64566964,10
15,mean_normal,0.27831194,10
16,median_bugged,0.19686231,10
17,median_normal,0.3651567,10
