,concept,class_activation,background_activation,ratio,background
0,0,-0.0003486562,0.0017935383,-0.19439574,True
1,1,0.0040315185,0.013917282,0.28967714,True
2,2,0.0053905295,0.0011100201,4.856245,False
3,3,0.011889493,-0.0021251326,-5.5947065,True
4,4,0.007932223,0.00422703,1.8765477,False
5,5,0.00017677834,0.004139549,0.042704735,True
6,6,0.023159869,0.0049089757,4.7178617,False
7,7,0.0039603487,0.004695786,0.8433835,True
8,8,0.0032866178,0.011892626,0.27635762,True
9,9,0.014923773,0.009428107,1.5829023,False
