,concept,class_activation,background_activation,ratio,background
0,0,-0.002311331,-0.0015610177,1.4806565,False
1,1,0.004106461,0.0046690563,0.8795056,True
2,2,0.0067131696,0.0018246186,3.679218,False
3,3,4.0367024e-05,-6.828054e-05,-0.5911937,True
4,4,0.0023534123,0.00011407999,20.629494,False
5,5,-0.004554916,-0.0027941077,1.6301863,False
6,6,0.0019416304,9.499049e-05,20.44026,False
7,7,-0.00011742023,3.46238e-05,-3.3913155,True
8,8,0.000310863,0.00021519889,1.4445381,False
9,9,0.00033499356,0.00041247334,0.8121581,True
