,method_model,spurious_score,num_concepts
0,med-mean_bugged,0.9977471,4
1,med-mean_normal,0.65991867,4
2,mean_bugged,0.9977471,4
3,mean_normal,0.0,4
4,median_bugged,1.0,4
5,median_normal,0.3292727,4
6,med-mean_bugged,0.9601358,7
7,med-mean_normal,0.34215543,7
8,mean_bugged,0.96013665,7
9,mean_normal,0.0,7
10,median_bugged,0.9647546,7
11,median_normal,0.7130589,7
12,med-mean_bugged,0.98190826,10
13,med-mean_normal,0.43503997,10
14,mean_bugged,0.9855109,10
15,mean_normal,0.4350383,10
16,median_bugged,0.9994229,10
17,median_normal,0.25880283,10
