,concept,class_activation,background_activation,ratio,background
0,0,0.036018446,0.0678688,0.530707,True
1,1,0.047660694,0.073314905,0.65008193,True
2,2,0.0070182662,0.014761069,0.47545788,True
3,3,0.0062868316,0.004623871,1.3596469,False
4,4,0.045441136,0.060530588,0.7507136,True
5,5,0.024828285,0.07263888,0.34180436,True
6,6,9.322136e-06,-0.0032722314,-0.002848862,True
7,7,0.0077224784,-0.01731896,-0.44589734,True
8,8,0.076710515,0.109441996,0.7009239,True
9,9,0.0037491762,0.03124157,0.12000601,True
