,concept,class_activation,background_activation,ratio,background
0,0,-0.0015689735,-0.0003523433,4.452968,False
1,1,0.0046299873,1.1976226e-05,386.59818,False
2,2,0.0013148661,0.00041745242,3.1497388,False
3,3,0.0006864385,0.00032486004,2.1130285,False
4,4,0.0036318782,0.00021257502,17.08516,False
5,5,0.017189685,0.017063968,1.0073674,False
6,6,-0.00085267937,-0.0002123772,4.014929,False
7,7,0.00011560019,-0.00035128763,-0.3290756,True
8,8,-0.0004599769,-4.6918187e-05,9.803808,False
9,9,-0.00020350385,-0.00029081796,0.6997637,True
