,concept,class_activation,background_activation,ratio,background
0,0,0.017809885,0.033429906,0.53275305,True
1,1,0.038752206,0.029297916,1.3226949,False
2,2,0.006681311,-0.0005807697,-11.504235,True
3,3,0.0033588633,-0.00038922994,-8.629509,True
4,4,9.332449e-05,7.65708e-06,12.188001,False
5,5,0.01299612,0.033770263,0.38483918,True
6,6,-0.0019185888,-0.008155888,0.23523971,True
7,7,0.0032352319,0.006007356,0.5385451,True
8,8,0.10939579,0.14871584,0.7356028,True
9,9,0.027970573,0.027677078,1.0106043,False
