,concept,class_activation,background_activation,ratio,background
0,0,0.00051225314,-0.0005608209,-0.9133988,True
1,1,0.0036462063,-0.00010907462,-33.428547,True
2,2,-0.0021792091,-0.0015822081,1.3773215,False
3,3,0.001547728,0.0005650257,2.7392168,False
4,4,5.6406214e-05,-0.00048044548,-0.117403984,True
5,5,0.0021082875,0.0018250127,1.155218,False
6,6,0.00036638504,0.0007865369,0.46582052,True
7,7,-0.00027008666,-0.00026224874,1.0298873,False
8,8,0.0074021877,0.0012309933,6.0131826,False
9,9,0.00025676252,0.0004767165,0.53860635,True
